Genes,p_vals
LINC02021,0.850907402969793
DCK,0.5481138446614741
ADH5,0.945871378691885
DCXR,0.217783197782265
LRRC7,0.7755445639246609
ABCA7,0.968461314883791
CASTOR2,0.573852160545395
KANK3,0.60607955665304
ZNF66,0.577184015905851
STMN1,0.08964579337756601
HSFX1,0.621200099141635
XAF1,0.41076728842089294
DNAAF10,0.18999027965941
KAT6B,0.0327666402608709
LINC01311,0.981081223970822
EPHB6,0.544243833651832
MTR,0.9235339490241
PLP2,0.753288513421852
RSPH3,0.52675875150713
EEF1A1P19,0.9362870064573848
RN7SL3,0.299230153219452
TESMIN,0.468156048720387
TNFSF12,0.8421761219727559
ATF6B,0.0373211286314674
IGHV3-23,0.00637724531826391
UBR5,0.845751348591563
ERC1,0.8869496494289529
PRIMPOL,0.786155141956985
GALNT3,0.456159177083633
LINC02863,0.7994523402976009
RPL32,0.32169435641457106
CELF2-AS1,0.6805320546010419
WDR76,0.836639972142873
GCC2,0.10123168982192
CISD3,0.486172927799832
HTT,0.941174440880708
DOCK2,0.0111332188980693
NOMO3,0.32926104573387605
REEP4,0.453959865130002
MAMLD1,0.8880805322595421
FBH1,0.485222924877365
UXT,0.0600766328939653
RALY,0.243569499116097
TXNL1,0.779410504912878
ABCB9,0.774145089575641
CTNNB1,0.133115945926087
H2BC21,0.193829856006388
RRP1,0.232203640996255
SBDSP1,0.6694827029486801
THEM4,0.8188951870906441
ZNF443,0.49321859352891
PINK1,0.0272600986955947
SETD2,0.510223169153017
HECTD3,0.4999736260789411
PRR12,0.540225394078073
EXOC6B,0.338863646004164
STARD9,0.385029218462521
ELOA-AS1,0.765255914471207
CCDC152,0.5808017030098199
ABCC6,0.575388265393088
CEP164,0.577408276354217
TRIM21,0.45071352787349
ATXN7L2,0.842658310999145
SESN2,0.502257452744556
SAFB2,0.346535173528073
FAM120AOS,0.0790358909482244
FES,0.396458233965409
EEF1A1P25,0.933973774283829
SMIM35,0.055804112947958
COQ4,0.698524781365704
INPP5A,0.490650436348631
FCMR,0.053296398521689
TMED4,0.633077801501597
UBE2G1,0.503743125125752
MSC-AS1,0.14733335719031698
ZKSCAN5,0.19019307952058104
SLC19A1,0.22372432383818305
SNRPD2,0.23913176838727696
ZNF300,0.608420459689628
IQSEC1,0.424613907756108
LINC00484,0.138658063310839
CDKN1A,0.0436295785432244
EFNB1,0.890766097022663
LINC02762,0.626948614867452
CARMIL3,0.891612798665107
FUNDC2,0.0614060947813345
PSMB4,0.43741845899235904
EARS2,0.423191902370104
KLHL11,0.405564211457061
SH3RF1,0.15156445320825304
CNOT3,0.83872689556372
PRR5L,0.942364218605734
OTUD7B,0.929784568244488
UPK3B,0.377560267801978
NOP2,0.207430819015204
DNAL4,0.0920728599567466
SIRPB1,0.307888933810672
SPIRE2,0.697682816516248
CEP104,0.0839006335068199
PBXIP1,0.0014009812739686
SASH3,0.058237074447219
PDE2A,0.8533031101161508
TRBV4-2,0.95377740478329
TTI1,0.0131660436484394
ANKEF1,0.850084823425308
ALDH3B1,0.8854669151079408
NHEJ1,0.657398807662208
ALDOC,0.258100680784651
CALCOCO1,0.0417608861282644
FLT3LG,0.258603138225588
MR1,0.848651128830852
PRKCI,0.5528630472615319
TMEM38A,0.36156254407129707
ADCY3,0.443669692580418
CADPS2,0.91068678987924
PPP3CB-AS1,0.734965173201658
B3GLCT,0.7552767996924101
IRF2BP1,0.838503493102611
ARAP2,0.0911317600336467
LINC00339,0.440659238043802
GAS2,0.5788426617977521
PDC-AS1,0.627090255859098
GNB1,0.938442728695652
HSPA1B,0.825626717131529
TCTN2,0.243169321180215
EI24,0.965227445225923
ING5,0.7104798650686529
MUC20P1,0.561074433021964
INSL6,0.42276300519096
OBI1-AS1,0.926387915132998
SLC25A35,0.6199425025685761
KANSL1L,0.6252153290496351
YEATS4,0.325050963134285
SNAPC5,0.765724188269972
KLHDC7B,0.1957339342234
CD7,0.4807727000983529
SARAF,8.77706189497797e-05
PLAA,0.801285234570519
OBSCN-AS1,0.327461252794942
RAB3GAP1,0.800908593356869
PUM2,0.7476887868505341
PTPRG,0.0078125128603562
MEAF6,0.300161221661175
NDUFAF5,0.747482485395979
SEMA3C,0.0205750225408624
CHST10,0.3457869186756889
PCGF1,0.513068463621339
FLYWCH2,0.4634197251016149
IER3IP1,0.4158873793138689
ANAPC16,0.38832334039325295
GASK1B,4.60288896614632e-05
CTAGE7P,0.54686519225667
USP27X,0.912621989516104
HMOX2,0.957458599321258
GRAP,0.0656647702872565
PCIF1,0.376512227323678
UIMC1,0.317542846839794
ZNF594,0.459363887519804
PGM3,0.58323325751148
ADGRE4P,0.846141653709542
LDHD,0.286760195098351
VSIR,0.500223860518952
SRGAP2-AS1,0.304614579824345
SNORA79B,0.0439596907600288
FPR3,0.0682932805400864
ERVK3-1,0.206030987609614
HDDC2,0.511034876982593
PNISR,0.0206079866728397
SANBR,0.087338872406465
COPS6,0.7276441408028671
BRF1,0.409007713887195
JUNB,0.0918453247744992
KCNT1,0.7767088235063242
CAPN10-DT,0.168807856065163
TESK1,0.470361893328936
COL6A3,0.5376344144468811
IGHV3-30,0.00022790271677707296
ATP6V1A,0.64875057508421
GNL3L,0.0535898537990248
DAAM2,4.67877563835194e-06
E2F3P1,0.0645863498149435
FKBP14,0.617588822598646
PPP1R26P1,0.000771930536794989
PSMA3,0.3982322834353761
DOCK9,0.083023639669691
ZNF41,0.363201404973701
MGAT2,0.349895043691831
KCNG2,0.820699445553601
ATP5MJ,0.128732675143837
ERF,0.4291816161009829
LINC01002,0.0151060662185172
PAX5,0.00015166127279184
SGCE,0.7739296337949642
XYLT1,0.178465074535285
CDK18,0.8324528901086301
PIGS,0.714165358830111
SCARNA12,0.7163773089360569
SLC22A4,0.0446475991395342
MXRA8,0.0058827184818054795
ANKRD49P1,0.6357902715137409
PRIM2,0.106864320165174
PRSS57,0.352227728428265
TDRD6,0.951024319113287
TMOD2,0.0982265367898672
CSTF3,0.36705578943094297
CYP4F22,0.7261542951083091
TMEM161B-DT,0.171347041300314
HSBP1L1,0.229653199804164
PLAGL2,0.0475323916731164
ARSG,0.986518246517402
FHIT,0.213116670299852
AGO4,0.251132249740317
ABLIM2,0.22516440583491695
KANSL1-AS1,0.4976972897738621
TMEM198B,0.210174419694339
MGAT4A,0.521819780288051
GADD45B,0.181606784854424
MPEG1,0.0519544819242837
MPLKIP,0.5939500356879069
ERCC6L2,0.648102931381781
DGCR2,0.8360876898689051
ZNF117,0.0454861189824267
MALSU1,0.3904134251992629
ZNF202,0.807500642128359
SPDYE3,0.7502286218465071
TM9SF3,0.708481288599073
SSR3,0.87100902177075
RPL23AP30,0.4166641143277341
RPL21P16,0.733747317755355
PDXP,0.361000910154865
ZNF287,0.9347005670865872
NKAPD1,0.105818808085297
ZNF622,0.40433173887961
RPL36AL,0.9261502804285258
C1orf122,0.258591632540079
CEBPD,0.00312229899948172
ELF3-AS1,0.357913323655058
NAA16,0.134697286175595
TRMT44,0.519136241704771
CR1,0.24294770970628896
MTOR,0.466782331068191
PDE9A,0.35534818584774097
ABCB7,0.861634763306059
AHSA2P,0.7896780643364171
MSL2,0.73004020585034
VANGL1,0.5267837159035751
ZER1,0.171882846758953
ETFDH,0.0566588912376155
GPBAR1,0.8725454443045859
ZNF343,0.18393204194832
LIX1,0.004531149672590971
HBA1,0.0539713459412445
ZNF263,0.36282370813800496
SRP68,0.519471077531306
SNRNP40,0.14537732351012306
GPX1,0.454411923167415
ACTG1P3,0.7550916806558001
FAM91A2P,0.396676813014884
CEACAM4,0.7479487694695309
COX10-DT,0.6330555179838779
CD300LD,0.214895416738674
ATP6V0B,0.0291896792156344
DPH7,0.6616873953851391
TRGC2,0.6768020299152769
AKR1A1,0.384826989837215
LIX1-AS1,2.98108839880579e-05
AMZ2,0.15967048669953302
EIF5A2,0.773399910468692
